Player,Capped/Uncapped,Team,Sold/Unsold,Base Price (cr),Winning Bid (cr)
Shaik Rasheed,Uncapped,CSK,Sold,0.3,0.3
Mukesh Choudhary,Uncapped,CSK,Sold,0.3,0.3
Kamlesh Nagarkoti,Uncapped,CSK,Sold,0.3,0.3
Ramakrishna Ghosh,Uncapped,CSK,Sold,0.3,0.3
Shreyas Gopal,Uncapped,CSK,Sold,0.3,0.3
Andre Siddarth,Uncapped,CSK,Sold,0.3,0.3
Mayank Markande,Uncapped,KKR,Sold,0.3,0.3
Arshin Kulkarni,Uncapped,LSG,Sold,0.3,0.3
Rajvardhan Hangargekar,Uncapped,LSG,Sold,0.3,0.3
Venkata Satyanarayana Penmetsa,Uncapped,MI,Sold,0.3,0.3
Suryansh Shedge,Uncapped,PBKS,Sold,0.3,0.3
Pyla Avinash,Uncapped,PBKS,Sold,0.3,0.3
Pravin Dubey,Uncapped,PBKS,Sold,0.3,0.3
Ashwani Kumar,Uncapped,MI,Sold,0.3,0.3
Shrijith Krishnan,Uncapped,MI,Sold,0.3,0.3
Raj Angad Bawa,Uncapped,MI,Sold,0.3,0.3
Bevan John Jacobs,Uncapped,MI,Sold,0.3,0.3
Yuvraj Chaudhary,Uncapped,LSG,Sold,0.3,0.3
Arjun Tendulkar,Uncapped,MI,Sold,0.3,0.3
Vignesh Puthur,Uncapped,MI,Sold,0.3,0.3
Aryan Juyal,Uncapped,LSG,Sold,0.3,0.3
Digvesh Singh,Uncapped,LSG,Sold,0.3,0.3
Akash Singh,Uncapped,LSG,Sold,0.3,0.3
Prince Yadav,Uncapped,LSG,Sold,0.3,0.3
Atharva Taide,Uncapped,SRH,Sold,0.3,0.3
David Warner,Capped,,Unsold,2.0,
Jonny Bairstow,Capped,,Unsold,2.0,
Kane Williamson,Capped,,Unsold,2.0,
Daryl Mitchell,Capped,,Unsold,2.0,
Shardul Thakur,Capped,,Unsold,2.0,
Mujeeb Ur Rahman,Capped,,Unsold,2.0,
Adil Rashid,Capped,,Unsold,2.0,
Finn Allen,Capped,,Unsold,2.0,
Ben Duckett,Capped,,Unsold,2.0,
Rilee Rossouw,Capped,,Unsold,2.0,
James Vince,Capped,,Unsold,2.0,
Tom Banton,Capped,,Unsold,2.0,
Mustafizur Rahman,Capped,,Unsold,2.0,
Naveen Ul Haq,Capped,,Unsold,2.0,
Umesh Yadav,Capped,,Unsold,2.0,
Tabraiz Shamsi,Capped,,Unsold,2.0,
Evin Lewis,Capped,,Unsold,2.0,
Steve Smith,Capped,,Unsold,2.0,
Gus Atkinson,Capped,,Unsold,2.0,
Tom Curran,Capped,,Unsold,2.0,
Matt Henry,Capped,,Unsold,2.0,
Alzarri Joseph,Capped,,Unsold,2.0,
Rassie Van Der Dussen,Capped,,Unsold,2.0,
Sean Abbott,Capped,,Unsold,2.0,
Adam Milne,Capped,,Unsold,2.0,
Jason Holder,Capped,,Unsold,2.0,
Chris Jordan,Capped,,Unsold,2.0,
Tymal Mills,Capped,,Unsold,2.0,
Akeal Hosein,Capped,,Unsold,1.5,
Sam Billings,Capped,,Unsold,1.5,
Mark Chapman,Capped,,Unsold,1.5,
Mohammad Nabi,Capped,,Unsold,1.5,
Tom Latham,Capped,,Unsold,1.5,
Kyle Mayers,Capped,,Unsold,1.5,
Jason Behrendorff,Capped,,Unsold,1.5,
Jhye Richardson,Capped,,Unsold,1.5,
Michael Bracewell,Capped,,Unsold,1.5,
William O'Rourke,Capped,,Unsold,1.5,
Jimmy Neesham,Capped,,Unsold,1.5,
Daniel Sams,Capped,,Unsold,1.5,
Riley Meredith,Capped,,Unsold,1.5,
Daniel Worrall,Capped,,Unsold,1.5,
Matthew Potts,Capped,,Unsold,1.5,
Tim Southee,Capped,,Unsold,1.5,
John Turner,Capped,,Unsold,1.5,
Kyle Jamieson,Capped,,Unsold,1.5,
Shai Hope,Capped,,Unsold,1.25,
Jordan Cox,Capped,,Unsold,1.25,
Tim Seifert,Capped,,Unsold,1.25,
Nandre Burger,Capped,,Unsold,1.25,
Sikandar Raza,Capped,,Unsold,1.25,
Will Young,Capped,,Unsold,1.25,
Obed McCoy,Capped,,Unsold,1.25,
Lance Morris,Capped,,Unsold,1.25,
Ashton Agar,Capped,,Unsold,1.25,
James Anderson,Capped,,Unsold,1.25,
Dominic Drakes,Capped,,Unsold,1.25,
Matthew Forde,Capped,,Unsold,1.25,
Keemo Paul,Capped,,Unsold,1.25,
Mayank Agarawal,Capped,,Unsold,1.0,
Alex Carey,Capped,,Unsold,1.0,
Ashton Turner,Capped,,Unsold,1.0,
Krishnappa Gowtham,Capped,,Unsold,1.0,
Gulbadin Naib,Capped,,Unsold,1.0,
Taskin Ahmed,Capped,,Unsold,1.0,
Chris Green,Capped,,Unsold,1.0,
Shakib Al Hasan,Capped,,Unsold,1.0,
Mehidy Hasan Miraz,Capped,,Unsold,1.0,
Benjamin Sears,Capped,,Unsold,1.0,
Dan Lawrence,Capped,,Unsold,1.0,
Nathan Smith,Capped,,Unsold,1.0,
David Payne,Capped,,Unsold,1.0,
Wayne Parnell,Capped,,Unsold,1.0,
Waqar Salamkheil,Capped,,Unsold,0.75,
Prithvi Shaw,Capped,,Unsold,0.75,
K.S Bharat,Capped,,Unsold,0.75,
Keshav Maharaj,Capped,,Unsold,0.75,
Vijayakanth Viyaskanth,Capped,,Unsold,0.75,
Dewald Brevis,Capped,,Unsold,0.75,
Ben McDermott,Capped,,Unsold,0.75,
Kusal Mendis,Capped,,Unsold,0.75,
Kusal Perera,Capped,,Unsold,0.75,
Josh Philippe,Capped,,Unsold,0.75,
Rishad Hossain,Capped,,Unsold,0.75,
Zahir Khan Pakten,Capped,,Unsold,0.75,
Nqabayomzi Peter,Capped,,Unsold,0.75,
Tanveer Sangha,Capped,,Unsold,0.75,
Jeffery Vandersay,Capped,,Unsold,0.75,
Sediqullah Atal,Capped,,Unsold,0.75,
Brandon King,Capped,,Unsold,0.75,
Pathum Nissanka,Capped,,Unsold,0.75,
Bhanuka Rajapaksa,Capped,,Unsold,0.75,
Johnson Charles,Capped,,Unsold,0.75,
Litton Das,Capped,,Unsold,0.75,
Andre Fletcher,Capped,,Unsold,0.75,
Ollie Pope,Capped,,Unsold,0.75,
Kyle Verreynne,Capped,,Unsold,0.75,
Richard Gleeson,Capped,,Unsold,0.75,
Luke Wood,Capped,,Unsold,0.75,
Towhid Hridoy,Capped,,Unsold,0.75,
Mikyle Louis,Capped,,Unsold,0.75,
Harry Tector,Capped,,Unsold,0.75,
Najibullah Zadran,Capped,,Unsold,0.75,
Ibrahim Zadran,Capped,,Unsold,0.75,
Sarfaraz Khan,Capped,,Unsold,0.75,
Matthew Short,Capped,,Unsold,0.75,
Josh Little,Capped,,Unsold,0.75,
Shivam Mavi,Capped,,Unsold,0.75,
Navdeep Saini,Capped,,Unsold,0.75,
Qais Ahmad,Capped,,Unsold,0.75,
Charith Asalanka,Capped,,Unsold,0.75,
Gudakesh Motie,Capped,,Unsold,0.75,
Daniel Mousley,Capped,,Unsold,0.75,
Dunith Wellalage,Capped,,Unsold,0.75,
Ottneil Baartman,Capped,,Unsold,0.75,
Dilshan Madushanka,Capped,,Unsold,0.75,
Chetan Sakariya,Capped,,Unsold,0.75,
Sandeep Warrier,Capped,,Unsold,0.75,
Cooper Connolly,Capped,,Unsold,0.75,
Dushan Hemantha,Capped,,Unsold,0.75,
William Sutherland,Capped,,Unsold,0.75,
Ben Dwarshuis,Capped,,Unsold,0.75,
Olly Stone,Capped,,Unsold,0.75,
Zak Foulkes,Capped,,Unsold,0.75,
Wiaan Mulder,Capped,,Unsold,0.75,
Dwaine Pretorius,Capped,,Unsold,0.75,
